uai;nom_etablissement;lattitude;ips;total_eleves_hors_segpa_ulis;total_eleves_segpa;total_eleves_ulis;pourcentage_filles
0061240R;Collège Carnot;43.65587061065868;88.3;508;0;0;49.86537105157741419900
0631522M;Collège Albert Camus;45.80771203821128;73.7;510;56;11;48.78238647853905666600
9710938T;Collège Aurélie Lambourde;16.27198710583062;87.6;725;0;0;47.92953039471418633300
9710073C;Collège Sadi Carnot;16.238600422109922;89.6;466;0;29;45.99803321042367775700
0440348P;Collège La ville aux Roses;47.71044564035731;90.4;502;57;12;51.08053194795233857300
0931231H;Collège Pierre de Geyter;48.93283839694313;86.0;548;0;0;48.74915638339665348300
0810787R;Collège Victor Hugo;44.05095738076171;89.9;390;0;0;47.37723272765696459700
9740577J;Collège Joseph Hubert;-21.374752131696336;74.4;806;125;12;46.99735221579307172300
0880151L;Collège Vautrin Lud;48.2965377650545;89.2;608;55;11;46.94282049050050347100
0760017F;Collège le Cèdre;49.4432844634738;93.4;355;54;10;47.79607739744744254200
0622907Y;Collège de la Morinie;50.74773575087692;75.9;264;54;12;46.99297430675353785900
0592751V;Collège Félicien Joly;50.33786460186301;78.1;511;0;0;46.27643450609034391000
0594524X;Collège Jean Moulin;50.59193523772984;73.1;246;49;12;49.24923166791099000900
0470046V;Collège Jean Monnet;44.498934992975315;91.0;309;38;0;47.58555300692469708700
0755241P;Collège Colette Besson;48.866422144792516;102.5;367;0;11;46.49499634431455369600
0911444A;Collège Montesquieu;48.63969570662481;78.5;513;0;12;47.22151925466332452600
0940787V;Collège Nicolas Boileau;48.80448794709731;81.9;343;0;13;50.33014131988664847900
0950886X;Collège Claude Monet;48.955099369854246;76.3;514;54;11;48.58830408542235223000
0951094Y;Collège Paul Vaillant-Couturier;48.94340927016017;88.9;619;0;12;48.99022868487929709900
0921157H;Collège Edouard Vaillant;48.92373785731711;93.5;959;0;14;49.53287721953804797100
0753937X;Collège Evariste Galois;48.81844211962522;92.8;377;0;10;48.91806662364992014300
9740574F;Collège Paul Hermann;-21.33566788141962;68.8;637;123;16;47.71277963703487938500
9740039Z;Collège Albert Lougnon;-21.040354032871043;82.2;764;0;25;49.62155510685932284600
0021826Z;Collège Jean Rostand;49.05854164952275;91.6;702;82;26;48.69146814000748316700
0941296Y;Collège Jean Macé;48.85651971631681;87.8;548;51;0;48.42778202178676901300
0951697D;Collège Le Moulin à Vent;49.04770944853642;93.0;652;58;13;47.44039162712555739400
0601718S;Collège Pierre Mendès France;49.23013890968722;93.2;450;0;14;48.88532530208375801800
0780264N;Collège Les Grands Champs;48.91943566283153;81.9;485;53;12;46.96229384718641473800
0690099H;Collège Jean Moulin;45.983782886444374;74.9;438;57;13;46.26572549971459895700
0761697G;Collège Claude Bernard;49.517913230961;87.2;362;0;12;45.78753437684785767200
0360541T;Collège Rosa Parks;46.80038435949145;69.2;360;62;0;51.31062243294326886000
0360541T;Collège Rosa Parks;46.80038435949145;69.2;369;63;0;51.31062243294326886000
0050025A;Collège Achille Mauzan;44.565891797666836;105.1;511;54;12;49.42775146041063098300
0921159K;Collège Edouard Manet;48.932121430658675;84.5;620;0;12;48.76585734676512525600
0400010U;Collège Jules Ferry;43.98525987110205;90.7;146;0;0;47.36252753640245460000
0597115N;Ecole européenne Lille Métropole Jacques Delors - niveau collège et lycée;50.66219072832191;149.6;131;0;0;48.07134188855960378000
0594299C;Collège Turgot;50.33072586542027;67.3;433;0;0;50.34954088546829769700
0950723V;Collège Jean Lurçat;48.97574185893895;78.7;781;0;12;50.06622311331333990400
0171117X;Collège Fabre d'Eglantine;46.15199517898842;103.9;583;0;13;51.53294424637186103100
0780420H;Collège Blaise Pascal;48.82476505570136;92.1;563;58;0;50.99922877797277643700
0692343X;Collège Elsa Triolet;45.697470444725326;67.3;624;60;8;47.41553720280943170400
0940581W;Collège Jean Moulin;48.774311108658466;90.7;442;0;0;51.81480891759037524100
0931377S;Collège Jacques  Jorissen;48.91646597239605;78.3;641;53;0;44.11542699445608577600
0510044W;Collège Colbert;49.282976093498846;76.8;482;0;12;46.92521874348504225500
9740596E;Collège Antoine Soubou;-21.0000851782693;80.5;532;26;12;52.47658894774770213100
